Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Ноутбук HUAWEI MateBook D 15 8+256GB Space Grey (BoB-WAI9),49999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i3-10110U,2.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics 620,,Серый
Ноутбук Irbis NB71,11999,Windows 10 Домашняя,"13.3""",1920x1080 Пикс,Intel,Atom Z3735F,1.33 ГГц,2 ГБ,DDR3L,eMMC,32 ГБ,Intel,Intel HD Graphics,,Черный
Ноутбук ASUS R522MA-BQ862W,25999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,eMMC,128 ГБ,Intel,UHD Graphics 600,,Синий
Ноутбук Lenovo IdeaPad 1 14IGL05 (81VU007XRU),24999,Windows 10,"14""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,SSD,128 ГБ,Intel,UHD Graphics 600,,Серый
Ноутбук HP 15s-fq0095ur (669Y0EA),34999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Celeron N4120,1.1 ГГц,4 ГБ,DDR4,SSD,256 ГБ,Intel,UHD Graphics 600,,Серый
Ноутбук HUAWEI MateBook 14 KLVL-W56W 16+512GB Space Grey,79999,Windows 10 Домашняя x64,"14""",2160x1440 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,AMD Radeon,,Серый
Ноутбук HP 250 G7 (197W0EA),29999,Windows 10,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,DDR4,SSD,128 ГБ,Intel,UHD Graphics 600,,Серый
Ноутбук Acer Aspire 1 A114-21-R0ME (NX.A7QER.00A),27999,Windows 10,"14""",1366x768 Пикс,AMD,Athlon Silver 3050U,2.3 ГГц,4 ГБ,DDR4,eMMC,128 ГБ,AMD,Radeon Graphics,,Черный
Ноутбук HP 15s-fq2151ur (5R9R8EA),54999,Windows 11 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i3-1115G4,3 ГГц,8 ГБ,DDR4,SSD,512 ГБ,Intel,UHD Graphics,,Серый
Ноутбук ASUS R565MA-BR658W,29999,,"15.6""",1920x1080 Пикс,Intel,Pentium Silver N5030,1.1 ГГц,4 ГБ,DDR4,SSD,128 ГБ,Intel,UHD Graphics 605,,Серебристый
